,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
19957,0.020833333333333332,0.5631487562752397,0.0,0.9999999999999999,1.0,0.4136986301369863
18451,0.07291666666666666,0.47440833427700113,0.0,0.0,0.3333333333333333,0.0
3862,0.90625,0.7079605933643052,0.5,0.9999999999999999,0.0,0.936986301369863
26006,0.0625,0.5572604084097748,0.0,0.25,0.0,0.0
24461,0.020833333333333332,0.5475031140301212,0.0,0.08333333333333333,0.0,0.35342465753424657
22567,0.19791666666666666,0.48325972898501846,0.0,0.25,0.0,0.0
29933,0.07291666666666666,0.45961197297398826,0.5,0.16666666666666669,0.0,0.0
24460,0.020833333333333332,0.5539199033707121,0.5,0.16666666666666669,0.0,0.0
2791,0.08333333333333333,0.509889404748435,0.5,0.49999999999999994,0.0,0.4136986301369863
31525,0.44791666666666663,0.44238100630354893,0.5,0.9999999999999999,1.0,0.7945205479452054
47124,0.44791666666666663,0.42981164835993013,0.5,0.6666666666666666,0.0,0.0410958904109589
20636,0.38541666666666663,0.7846789718038849,0.0,0.0,0.0,0.0
17697,0.125,0.5606575321783112,0.5,0.0,0.0,0.0
22866,0.20833333333333331,0.567734873362781,0.5,0.25,0.0,0.0
27652,0.0625,0.5518627561997391,0.5,0.8333333333333333,0.0,0.5178082191780822
46990,0.28125,0.4576869361718252,0.0,0.0,1.0,0.9671232876712329
1003,0.6666666666666666,0.4689163175178521,0.5,0.9999999999999999,0.0,0.33424657534246577
20231,0.0625,0.5507870003397102,0.0,0.0,0.3333333333333333,0.0
40616,0.23958333333333331,0.48280677914920034,0.0,0.9999999999999999,1.0,0.5068493150684932
25134,1.0,0.4943569999622639,0.0,0.3333333333333333,0.0,0.4547945205479452
41047,0.35416666666666663,0.4741063677197701,0.0,0.0,0.3333333333333333,0.16164383561643836
28910,0.65625,0.7582380251387235,0.0,0.0,0.3333333333333333,0.989041095890411
24876,0.07291666666666666,0.4731627222284942,0.5,0.9999999999999999,1.0,0.852054794520548
